time_days	replicate	transfer_volume	prey_history	predator_history	cells_mL
28	F	180uL	ANC	ANC	17917.00
32	A	180uL	ANC	ANC	29044.40
32	B	180uL	ANC	ANC	33759.40
32	C	180uL	ANC	ANC	40360.40
32	D	180uL	ANC	ANC	32816.40
32	E	180uL	ANC	ANC	43566.60
32	F	180uL	ANC	ANC	27535.60
36	A	180uL	ANC	ANC	24518.00
36	B	180uL	ANC	ANC	9618.60
36	C	180uL	ANC	ANC	9241.40
36	D	180uL	ANC	ANC	10373.00
36	E	180uL	ANC	ANC	27724.20
36	F	180uL	ANC	ANC	20180.20
40	A	180uL	ANC	ANC	17351.20
40	B	180uL	ANC	ANC	23009.20
40	C	180uL	ANC	ANC	20746.00
40	D	180uL	ANC	ANC	34136.60
40	E	180uL	ANC	ANC	19237.20
40	F	180uL	ANC	ANC	28855.80
44	A	180uL	ANC	ANC	19425.80
44	B	180uL	ANC	ANC	23386.40
44	C	180uL	ANC	ANC	19803.00
44	D	180uL	ANC	ANC	34891.00
44	E	180uL	ANC	ANC	15465.20
44	F	180uL	ANC	ANC	20368.80
48	A	180uL	ANC	ANC	28101.40
48	B	180uL	ANC	ANC	33005.00
48	C	180uL	ANC	ANC	24518.00
48	D	180uL	ANC	ANC	57711.60
48	E	180uL	ANC	ANC	30364.60
48	F	180uL	ANC	ANC	48281.60
52	A	180uL	ANC	ANC	17539.80
52	B	180uL	ANC	ANC	16219.60
52	C	180uL	ANC	ANC	12259.00
52	D	180uL	ANC	ANC	37908.60
52	E	180uL	ANC	ANC	20557.40
52	F	180uL	ANC	ANC	19237.20
56	A	180uL	ANC	ANC	22820.60
56	B	180uL	ANC	ANC	28290.00
56	C	180uL	ANC	ANC	21877.60
56	D	180uL	ANC	ANC	35456.80
56	E	180uL	ANC	ANC	27347.00
56	F	180uL	ANC	ANC	39417.40
60	A	180uL	ANC	ANC	13956.40
60	B	180uL	ANC	ANC	14333.60
60	C	180uL	ANC	ANC	7732.60
60	D	180uL	ANC	ANC	23197.80
60	E	180uL	ANC	ANC	16785.40
60	F	180uL	ANC	ANC	16031.00
4	A	1800uL	ANC	ANC	38474.40
4	B	1800uL	ANC	ANC	41680.60
4	C	1800uL	ANC	ANC	47715.80
4	D	1800uL	ANC	ANC	41869.20
4	E	1800uL	ANC	ANC	35834.00
4	F	1800uL	ANC	ANC	32062.00
8	A	1800uL	ANC	ANC	19991.60
