plate	well	incubation_length_hours	cloneOD	clone_plus_ciliateOD	prey	predator	replicate	ciliate_detected	experiment_day			OD difference	Defence
plate10	E02	48	0.573	0.067	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.506	0.494
plate10	E03	48	0.233	0.042	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.191	0.809
plate10	E04	48	0.073	0.039	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.034	0.966
plate10	E05	48	0.111	0.041	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.07	0.93
plate10	E06	48	0.394	0.041	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.353	0.647
plate10	E07	48	0.206	0.115	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.091	0.909
plate10	E08	48	0.171	0.041	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.13	0.87
plate10	E09	48	0.48	0.042	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.438	0.562
plate10	E10	48	0.361	0.042	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.319	0.681
plate10	E11	48	0.102	0.058	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.044	0.956
plate10	E12	48	0.251	0.247	Evolved Bacteria	Evolved Ciliates	1	FALSE	8			0.004	0.996
plate10	F01	48	0.2	0.041	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.159	0.841
plate10	F02	48	0.08	0.042	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.038	0.962
plate10	F03	48	0.216	0.044	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.172	0.828
plate10	F04	48	0.348	0.142	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.206	0.794
plate10	F05	48	0.459	0.059	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.4	0.6
plate10	F06	48	0.394	0.045	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.349	0.651
plate10	F07	48	0.252	0.039	Evolved Bacteria	Evolved Ciliates	1	TRUE	8			0.213	0.787
