transfer_category	transfer_volume_ul	replicate	prey_history	predator_history	time_days	bacteria_od
md	180	D	evo	evo	8	0.226
md	180	D	evo	evo	12	0.322
md	180	D	evo	evo	16	0.321
md	180	D	evo	evo	20	0.304
md	180	D	evo	evo	24	0.297
md	180	D	evo	evo	28	0.379
md	180	D	evo	evo	32	0.356
md	180	D	evo	evo	36	0.252
md	180	D	evo	evo	40	0.313
md	180	D	evo	evo	44	0.328
md	180	D	evo	evo	48	0.273
md	180	D	evo	evo	52	0.266
md	180	D	evo	evo	56	0.313
md	180	D	evo	evo	60	0.311
hi	1800	D	evo	evo	4	0.214
hi	1800	D	evo	evo	8	0.224
hi	1800	D	evo	evo	12	0.278
hi	1800	D	evo	evo	16	0.329
hi	1800	D	evo	evo	20	0.317
hi	1800	D	evo	evo	24	0.294
hi	1800	D	evo	evo	28	0.296
hi	1800	D	evo	evo	32	0.302
hi	1800	D	evo	evo	36	0.304
hi	1800	D	evo	evo	40	0.333
hi	1800	D	evo	evo	44	0.327
hi	1800	D	evo	evo	48	0.301
hi	1800	D	evo	evo	52	0.28
hi	1800	D	evo	evo	56	0.323
hi	1800	D	evo	evo	60	0.304
lo	18	D	evo	none	4	0.503
lo	18	D	evo	none	8	0.484
lo	18	D	evo	none	12	0.513
lo	18	D	evo	none	16	0.553
lo	18	D	evo	none	20	0.531
lo	18	D	evo	none	24	0.61
lo	18	D	evo	none	28	0.633
lo	18	D	evo	none	32	0.628
lo	18	D	evo	none	36	0.619
lo	18	D	evo	none	40	0.612
lo	18	D	evo	none	44	0.626
lo	18	D	evo	none	48	0.612
lo	18	D	evo	none	52	0.612
lo	18	D	evo	none	56	0.621
lo	18	D	evo	none	60	0.641
md	180	D	evo	none	4	0.532
md	180	D	evo	none	8	0.495
md	180	D	evo	none	12	0.503
md	180	D	evo	none	16	0.535
md	180	D	evo	none	20	0.586
md	180	D	evo	none	24	0.606
md	180	D	evo	none	28	0.605
md	180	D	evo	none	32	0.613
md	180	D	evo	none	36	0.624
md	180	D	evo	none	40	0.597
md	180	D	evo	none	44	0.604
md	180	D	evo	none	48	0.556
md	180	D	evo	none	52	0.535
md	180	D	evo	none	56	0.561
md	180	D	evo	none	60	0.576
hi	1800	D	evo	none	4	0.503
hi	1800	D	evo	none	8	0.523
hi	1800	D	evo	none	12	0.518
hi	1800	D	evo	none	16	0.509
hi	1800	D	evo	none	20	0.533
hi	1800	D	evo	none	24	0.579
hi	1800	D	evo	none	28	0.608
hi	1800	D	evo	none	32	0.585
hi	1800	D	evo	none	36	0.575
hi	1800	D	evo	none	40	0.577
hi	1800	D	evo	none	44	0.584
hi	1800	D	evo	none	48	0.541
hi	1800	D	evo	none	52	0.529
hi	1800	D	evo	none	56	0.554
hi	1800	D	evo	none	60	0.584
lo	18	E	anc	anc	4	0.216
lo	18	E	anc	anc	8	0.282
lo	18	E	anc	anc	12	0.5
lo	18	E	anc	anc	16	0.307
lo	18	E	anc	anc	20	0.546
lo	18	E	anc	anc	24	0.296
lo	18	E	anc	anc	28	0.204
lo	18	E	anc	anc	32	0.234
lo	18	E	anc	anc	36	0.503
lo	18	E	anc	anc	40	0.477
lo	18	E	anc	anc	44	0.618
lo	18	E	anc	anc	48	0.579
lo	18	E	anc	anc	52	0.556
lo	18	E	anc	anc	56	0.507
lo	18	E	anc	anc	60	0.448
md	180	E	anc	anc	4	0.219
md	180	E	anc	anc	8	0.189
md	180	E	anc	anc	12	0.221
md	180	E	anc	anc	16	0.236
md	180	E	anc	anc	20	0.203
md	180	E	anc	anc	24	0.208
md	180	E	anc	anc	28	0.227
md	180	E	anc	anc	32	0.231
md	180	E	anc	anc	36	0.255
md	180	E	anc	anc	40	0.292
md	180	E	anc	anc	44	0.294
md	180	E	anc	anc	48	0.253
md	180	E	anc	anc	52	0.25
md	180	E	anc	anc	56	0.262
md	180	E	anc	anc	60	0.295
hi	1800	E	anc	anc	4	0.229
hi	1800	E	anc	anc	8	0.192
hi	1800	E	anc	anc	12	0.226
hi	1800	E	anc	anc	16	0.281
hi	1800	E	anc	anc	20	0.268
hi	1800	E	anc	anc	24	0.226
hi	1800	E	anc	anc	28	0.216
hi	1800	E	anc	anc	32	0.17
hi	1800	E	anc	anc	36	0.191
hi	1800	E	anc	anc	40	0.193
hi	1800	E	anc	anc	44	0.223
hi	1800	E	anc	anc	48	0.252
hi	1800	E	anc	anc	52	0.249
hi	1800	E	anc	anc	56	0.299
hi	1800	E	anc	anc	60	0.245
lo	18	E	anc	evo	4	0.185
lo	18	E	anc	evo	8	0.164
lo	18	E	anc	evo	12	0.204
lo	18	E	anc	evo	16	0.219
lo	18	E	anc	evo	20	0.216
lo	18	E	anc	evo	24	0.295
lo	18	E	anc	evo	28	0.294
lo	18	E	anc	evo	32	0.322
lo	18	E	anc	evo	36	0.292
lo	18	E	anc	evo	40	0.335
lo	18	E	anc	evo	44	0.61
lo	18	E	anc	evo	48	0.213
lo	18	E	anc	evo	52	0.285
lo	18	E	anc	evo	56	0.468
lo	18	E	anc	evo	60	0.343
md	180	E	anc	evo	4	0.191
md	180	E	anc	evo	8	0.172
md	180	E	anc	evo	12	0.215
md	180	E	anc	evo	16	0.223
md	180	E	anc	evo	20	0.204
md	180	E	anc	evo	24	0.242
md	180	E	anc	evo	28	0.269
md	180	E	anc	evo	32	0.257
md	180	E	anc	evo	36	0.26
md	180	E	anc	evo	40	0.278
md	180	E	anc	evo	44	0.306
md	180	E	anc	evo	48	0.236
md	180	E	anc	evo	52	0.262
md	180	E	anc	evo	56	0.242
md	180	E	anc	evo	60	0.359
hi	1800	E	anc	evo	4	0.205
hi	1800	E	anc	evo	8	0.182
hi	1800	E	anc	evo	12	0.227
hi	1800	E	anc	evo	16	0.244
hi	1800	E	anc	evo	20	0.239
hi	1800	E	anc	evo	24	0.247
hi	1800	E	anc	evo	28	0.256
hi	1800	E	anc	evo	32	0.258
hi	1800	E	anc	evo	36	0.246
hi	1800	E	anc	evo	40	0.26
hi	1800	E	anc	evo	44	0.272
hi	1800	E	anc	evo	48	0.241
hi	1800	E	anc	evo	52	0.232
hi	1800	E	anc	evo	56	0.18
hi	1800	E	anc	evo	60	0.311
lo	18	E	anc	none	4	0.583
lo	18	E	anc	none	8	0.587
lo	18	E	anc	none	12	0.639
lo	18	E	anc	none	16	0.622
lo	18	E	anc	none	20	0.637
lo	18	E	anc	none	24	0.623
lo	18	E	anc	none	28	0.637
lo	18	E	anc	none	32	0.64
lo	18	E	anc	none	36	0.663
lo	18	E	anc	none	40	0.647
lo	18	E	anc	none	44	0.647
lo	18	E	anc	none	48	0.64
lo	18	E	anc	none	52	0.617
lo	18	E	anc	none	56	0.607
lo	18	E	anc	none	60	0.635
md	180	E	anc	none	4	0.578
md	180	E	anc	none	8	0.575
md	180	E	anc	none	12	0.596
md	180	E	anc	none	16	0.588
md	180	E	anc	none	20	0.571
md	180	E	anc	none	24	0.604
md	180	E	anc	none	28	0.644
md	180	E	anc	none	32	0.605
md	180	E	anc	none	36	0.63
md	180	E	anc	none	40	0.632
md	180	E	anc	none	44	0.658
md	180	E	anc	none	48	0.664
md	180	E	anc	none	52	0.586
md	180	E	anc	none	56	0.59
md	180	E	anc	none	60	0.575
hi	1800	E	anc	none	4	0.591
hi	1800	E	anc	none	8	0.557
hi	1800	E	anc	none	12	0.55
hi	1800	E	anc	none	16	0.562
hi	1800	E	anc	none	20	0.585
hi	1800	E	anc	none	24	0.579
hi	1800	E	anc	none	28	0.575
hi	1800	E	anc	none	32	0.491
hi	1800	E	anc	none	36	0.56
hi	1800	E	anc	none	40	0.554
hi	1800	E	anc	none	44	0.54
hi	1800	E	anc	none	48	0.523
hi	1800	E	anc	none	52	0.559
hi	1800	E	anc	none	56	0.534
hi	1800	E	anc	none	60	0.568
lo	18	E	evo	anc	4	0.237
lo	18	E	evo	anc	8	0.235
lo	18	E	evo	anc	12	0.319
lo	18	E	evo	anc	16	0.351
lo	18	E	evo	anc	20	0.384
lo	18	E	evo	anc	24	0.346
lo	18	E	evo	anc	28	0.358
lo	18	E	evo	anc	32	0.345
lo	18	E	evo	anc	36	0.474
lo	18	E	evo	anc	40	0.499
lo	18	E	evo	anc	44	0.464
lo	18	E	evo	anc	48	0.299
lo	18	E	evo	anc	52	0.463
lo	18	E	evo	anc	56	0.334
lo	18	E	evo	anc	60	0.379
md	180	E	evo	anc	4	0.233
md	180	E	evo	anc	8	0.266
md	180	E	evo	anc	12	0.32
md	180	E	evo	anc	16	0.279
md	180	E	evo	anc	20	0.223
md	180	E	evo	anc	24	0.293
md	180	E	evo	anc	28	0.301
md	180	E	evo	anc	32	0.318
md	180	E	evo	anc	36	0.323
md	180	E	evo	anc	40	0.284
md	180	E	evo	anc	44	0.282
md	180	E	evo	anc	48	0.249
md	180	E	evo	anc	52	0.232
md	180	E	evo	anc	56	0.268
md	180	E	evo	anc	60	0.271
hi	1800	E	evo	anc	4	0.283
hi	1800	E	evo	anc	8	0.243
hi	1800	E	evo	anc	12	0.273
hi	1800	E	evo	anc	16	0.308
hi	1800	E	evo	anc	20	0.25
hi	1800	E	evo	anc	24	0.287
hi	1800	E	evo	anc	28	0.269
hi	1800	E	evo	anc	32	0.219
hi	1800	E	evo	anc	36	0.269
hi	1800	E	evo	anc	40	0.264
hi	1800	E	evo	anc	44	0.24
hi	1800	E	evo	anc	48	0.283
hi	1800	E	evo	anc	52	0.228
hi	1800	E	evo	anc	56	0.245
hi	1800	E	evo	anc	60	0.301
lo	18	E	evo	evo	4	0.219
lo	18	E	evo	evo	8	0.247
lo	18	E	evo	evo	12	0.271
lo	18	E	evo	evo	16	0.268
lo	18	E	evo	evo	20	0.269
lo	18	E	evo	evo	24	0.346
lo	18	E	evo	evo	28	0.324
lo	18	E	evo	evo	32	0.335
lo	18	E	evo	evo	36	0.377
lo	18	E	evo	evo	40	0.416
lo	18	E	evo	evo	44	0.413
lo	18	E	evo	evo	48	0.245
lo	18	E	evo	evo	52	0.298
lo	18	E	evo	evo	56	0.335
lo	18	E	evo	evo	60	0.305
md	180	E	evo	evo	4	0.21
md	180	E	evo	evo	8	0.261
md	180	E	evo	evo	12	0.323
md	180	E	evo	evo	16	0.308
md	180	E	evo	evo	20	0.264
md	180	E	evo	evo	24	0.254
md	180	E	evo	evo	28	0.286
md	180	E	evo	evo	32	0.275
md	180	E	evo	evo	36	0.27
md	180	E	evo	evo	40	0.311
md	180	E	evo	evo	44	0.331
md	180	E	evo	evo	48	0.239
md	180	E	evo	evo	52	0.266
md	180	E	evo	evo	56	0.349
md	180	E	evo	evo	60	0.313
hi	1800	E	evo	evo	4	0.24
hi	1800	E	evo	evo	8	0.221
hi	1800	E	evo	evo	12	0.22
hi	1800	E	evo	evo	16	0.221
hi	1800	E	evo	evo	20	0.263
hi	1800	E	evo	evo	24	0.242
hi	1800	E	evo	evo	28	0.256
hi	1800	E	evo	evo	32	0.277
hi	1800	E	evo	evo	36	0.273
hi	1800	E	evo	evo	40	0.266
hi	1800	E	evo	evo	44	0.292
hi	1800	E	evo	evo	48	0.273
hi	1800	E	evo	evo	52	0.231
hi	1800	E	evo	evo	56	0.254
hi	1800	E	evo	evo	60	0.231
lo	18	E	evo	none	4	0.541
lo	18	E	evo	none	8	0.513
lo	18	E	evo	none	12	0.534
lo	18	E	evo	none	16	0.581
lo	18	E	evo	none	20	0.581
lo	18	E	evo	none	24	0.598
lo	18	E	evo	none	28	0.614
lo	18	E	evo	none	32	0.549
lo	18	E	evo	none	36	0.651
lo	18	E	evo	none	40	0.642
lo	18	E	evo	none	44	0.661
lo	18	E	evo	none	48	0.615
lo	18	E	evo	none	52	0.627
lo	18	E	evo	none	56	0.62
lo	18	E	evo	none	60	0.643
md	180	E	evo	none	4	0.531
md	180	E	evo	none	8	0.51
md	180	E	evo	none	12	0.514
md	180	E	evo	none	16	0.53
md	180	E	evo	none	20	0.551
md	180	E	evo	none	24	0.557
md	180	E	evo	none	28	0.535
md	180	E	evo	none	32	0.573
md	180	E	evo	none	36	0.592
md	180	E	evo	none	40	0.571
md	180	E	evo	none	44	0.535
md	180	E	evo	none	48	0.539
md	180	E	evo	none	52	0.449
md	180	E	evo	none	56	0.533
md	180	E	evo	none	60	0.576
hi	1800	E	evo	none	4	0.513
hi	1800	E	evo	none	8	0.487
hi	1800	E	evo	none	12	0.479
hi	1800	E	evo	none	16	0.502
hi	1800	E	evo	none	20	0.508
hi	1800	E	evo	none	24	0.527
hi	1800	E	evo	none	28	0.526
hi	1800	E	evo	none	32	0.524
hi	1800	E	evo	none	36	0.541
hi	1800	E	evo	none	40	0.549
hi	1800	E	evo	none	44	0.556
hi	1800	E	evo	none	48	0.553
hi	1800	E	evo	none	52	0.563
hi	1800	E	evo	none	56	0.581
hi	1800	E	evo	none	60	0.575
lo	18	F	anc	anc	4	0.219
lo	18	F	anc	anc	8	0.329
lo	18	F	anc	anc	12	0.459
lo	18	F	anc	anc	16	0.231
lo	18	F	anc	anc	20	0.225
lo	18	F	anc	anc	24	0.215
lo	18	F	anc	anc	28	0.236
lo	18	F	anc	anc	32	0.229
lo	18	F	anc	anc	36	0.236
lo	18	F	anc	anc	40	0.203
lo	18	F	anc	anc	44	0.193
lo	18	F	anc	anc	48	0.156
lo	18	F	anc	anc	52	0.164
lo	18	F	anc	anc	56	0.187
lo	18	F	anc	anc	60	0.275
md	180	F	anc	anc	4	0.21
md	180	F	anc	anc	8	0.191
md	180	F	anc	anc	12	0.241
md	180	F	anc	anc	16	0.242
md	180	F	anc	anc	20	0.2
md	180	F	anc	anc	24	0.208
md	180	F	anc	anc	28	0.234
md	180	F	anc	anc	32	0.208
md	180	F	anc	anc	36	0.215
md	180	F	anc	anc	40	0.266
md	180	F	anc	anc	44	0.259
md	180	F	anc	anc	48	0.196
md	180	F	anc	anc	52	0.252
md	180	F	anc	anc	56	0.247
md	180	F	anc	anc	60	0.266
hi	1800	F	anc	anc	4	0.248
hi	1800	F	anc	anc	8	0.207
hi	1800	F	anc	anc	12	0.241
hi	1800	F	anc	anc	16	0.252
hi	1800	F	anc	anc	20	0.233
hi	1800	F	anc	anc	24	0.233
hi	1800	F	anc	anc	28	0.262
hi	1800	F	anc	anc	32	0.288
hi	1800	F	anc	anc	36	0.249
hi	1800	F	anc	anc	40	0.264
hi	1800	F	anc	anc	44	0.228
hi	1800	F	anc	anc	48	0.263
hi	1800	F	anc	anc	52	0.228
hi	1800	F	anc	anc	56	0.263
hi	1800	F	anc	anc	60	0.227
lo	18	F	anc	evo	4	0.189
lo	18	F	anc	evo	8	0.163
lo	18	F	anc	evo	12	0.175
lo	18	F	anc	evo	16	0.199
lo	18	F	anc	evo	20	0.191
lo	18	F	anc	evo	24	0.285
lo	18	F	anc	evo	28	0.294
lo	18	F	anc	evo	32	0.322
lo	18	F	anc	evo	36	0.258
lo	18	F	anc	evo	40	0.292
lo	18	F	anc	evo	44	0.398
lo	18	F	anc	evo	48	0.164
lo	18	F	anc	evo	52	0.238
lo	18	F	anc	evo	56	0.203
lo	18	F	anc	evo	60	0.347
md	180	F	anc	evo	4	0.183
md	180	F	anc	evo	8	0.177
md	180	F	anc	evo	12	0.225
md	180	F	anc	evo	16	0.245
md	180	F	anc	evo	20	0.227
md	180	F	anc	evo	24	0.256
md	180	F	anc	evo	28	0.281
md	180	F	anc	evo	32	0.298
md	180	F	anc	evo	36	0.292
md	180	F	anc	evo	40	0.353
md	180	F	anc	evo	44	0.351
md	180	F	anc	evo	48	0.269
md	180	F	anc	evo	52	0.241
md	180	F	anc	evo	56	0.232
md	180	F	anc	evo	60	0.328
hi	1800	F	anc	evo	4	0.19
hi	1800	F	anc	evo	8	0.18
hi	1800	F	anc	evo	12	0.231
hi	1800	F	anc	evo	16	0.25
hi	1800	F	anc	evo	20	0.231
hi	1800	F	anc	evo	24	0.24
hi	1800	F	anc	evo	28	0.25
hi	1800	F	anc	evo	32	0.261
hi	1800	F	anc	evo	36	0.258
hi	1800	F	anc	evo	40	0.278
hi	1800	F	anc	evo	44	0.283
hi	1800	F	anc	evo	48	0.241
hi	1800	F	anc	evo	52	0.249
hi	1800	F	anc	evo	56	0.194
hi	1800	F	anc	evo	60	0.302
lo	18	F	anc	none	4	0.525
lo	18	F	anc	none	8	0.588
lo	18	F	anc	none	12	0.596
lo	18	F	anc	none	16	0.611
lo	18	F	anc	none	20	0.566
lo	18	F	anc	none	24	0.587
lo	18	F	anc	none	28	0.61
lo	18	F	anc	none	32	0.638
lo	18	F	anc	none	36	0.647
lo	18	F	anc	none	40	0.625
lo	18	F	anc	none	44	0.644
lo	18	F	anc	none	48	0.632
lo	18	F	anc	none	52	0.641
lo	18	F	anc	none	56	0.599
lo	18	F	anc	none	60	0.643
md	180	F	anc	none	4	0.58
md	180	F	anc	none	8	0.557
md	180	F	anc	none	12	0.585
md	180	F	anc	none	16	0.574
md	180	F	anc	none	20	0.595
md	180	F	anc	none	24	0.641
md	180	F	anc	none	28	0.667
md	180	F	anc	none	32	0.623
md	180	F	anc	none	36	0.652
md	180	F	anc	none	40	0.641
md	180	F	anc	none	44	0.66
md	180	F	anc	none	48	0.64
md	180	F	anc	none	52	0.645
md	180	F	anc	none	56	0.681
md	180	F	anc	none	60	0.613
hi	1800	F	anc	none	4	0.616
hi	1800	F	anc	none	8	0.56
hi	1800	F	anc	none	12	0.563
hi	1800	F	anc	none	16	0.582
hi	1800	F	anc	none	20	0.6
hi	1800	F	anc	none	24	0.578
hi	1800	F	anc	none	28	0.592
hi	1800	F	anc	none	32	0.54
hi	1800	F	anc	none	36	0.538
hi	1800	F	anc	none	40	0.545
hi	1800	F	anc	none	44	0.557
hi	1800	F	anc	none	48	0.534
hi	1800	F	anc	none	52	0.527
hi	1800	F	anc	none	56	0.552
hi	1800	F	anc	none	60	0.619
lo	18	F	evo	anc	4	0.234
lo	18	F	evo	anc	8	0.233
lo	18	F	evo	anc	12	0.366
lo	18	F	evo	anc	16	0.364
lo	18	F	evo	anc	20	0.43
lo	18	F	evo	anc	24	0.345
lo	18	F	evo	anc	28	0.401
lo	18	F	evo	anc	32	0.344
lo	18	F	evo	anc	36	0.413
lo	18	F	evo	anc	40	0.444
lo	18	F	evo	anc	44	0.483
lo	18	F	evo	anc	48	0.438
lo	18	F	evo	anc	52	0.401
lo	18	F	evo	anc	56	0.385
lo	18	F	evo	anc	60	0.419
md	180	F	evo	anc	4	0.24
md	180	F	evo	anc	8	0.282
md	180	F	evo	anc	12	0.335
md	180	F	evo	anc	16	0.31
md	180	F	evo	anc	20	0.332
md	180	F	evo	anc	24	0.277
md	180	F	evo	anc	28	0.315
md	180	F	evo	anc	32	0.322
md	180	F	evo	anc	36	0.305
md	180	F	evo	anc	40	0.351
md	180	F	evo	anc	44	0.351
md	180	F	evo	anc	48	0.251
md	180	F	evo	anc	52	0.227
md	180	F	evo	anc	56	0.251
md	180	F	evo	anc	60	0.31
hi	1800	F	evo	anc	4	0.267
hi	1800	F	evo	anc	8	0.232
hi	1800	F	evo	anc	12	0.228
hi	1800	F	evo	anc	16	0.251
hi	1800	F	evo	anc	20	0.267
hi	1800	F	evo	anc	24	0.269
hi	1800	F	evo	anc	28	0.265
hi	1800	F	evo	anc	32	0.258
hi	1800	F	evo	anc	36	0.272
hi	1800	F	evo	anc	40	0.287
hi	1800	F	evo	anc	44	0.272
hi	1800	F	evo	anc	48	0.273
hi	1800	F	evo	anc	52	0.264
hi	1800	F	evo	anc	56	0.263
hi	1800	F	evo	anc	60	0.285
lo	18	F	evo	evo	4	0.222
lo	18	F	evo	evo	8	0.25
lo	18	F	evo	evo	12	0.311
lo	18	F	evo	evo	16	0.287
lo	18	F	evo	evo	20	0.264
lo	18	F	evo	evo	24	0.366
lo	18	F	evo	evo	28	0.292
lo	18	F	evo	evo	32	0.344
lo	18	F	evo	evo	36	0.341
lo	18	F	evo	evo	40	0.472
lo	18	F	evo	evo	44	0.384
lo	18	F	evo	evo	48	0.292
lo	18	F	evo	evo	52	0.31
lo	18	F	evo	evo	56	0.34
lo	18	F	evo	evo	60	0.369
md	180	F	evo	evo	4	0.221
md	180	F	evo	evo	8	0.253
md	180	F	evo	evo	12	0.269
md	180	F	evo	evo	16	0.254
md	180	F	evo	evo	20	0.252
md	180	F	evo	evo	24	0.253
md	180	F	evo	evo	28	0.313
md	180	F	evo	evo	32	0.268
md	180	F	evo	evo	36	0.245
md	180	F	evo	evo	40	0.366
md	180	F	evo	evo	44	0.32
md	180	F	evo	evo	48	0.303
md	180	F	evo	evo	52	0.366
md	180	F	evo	evo	56	0.356
md	180	F	evo	evo	60	0.306
hi	1800	F	evo	evo	4	0.261
hi	1800	F	evo	evo	8	0.221
hi	1800	F	evo	evo	12	0.23
hi	1800	F	evo	evo	16	0.251
hi	1800	F	evo	evo	20	0.231
hi	1800	F	evo	evo	24	0.241
hi	1800	F	evo	evo	28	0.247
hi	1800	F	evo	evo	32	0.249
hi	1800	F	evo	evo	36	0.251
hi	1800	F	evo	evo	40	0.271
hi	1800	F	evo	evo	44	0.282
hi	1800	F	evo	evo	48	0.273
hi	1800	F	evo	evo	52	0.213
hi	1800	F	evo	evo	56	0.241
hi	1800	F	evo	evo	60	0.282
lo	18	F	evo	none	4	0.456
lo	18	F	evo	none	8	0.505
lo	18	F	evo	none	12	0.542
lo	18	F	evo	none	16	0.599
lo	18	F	evo	none	20	0.613
lo	18	F	evo	none	24	0.601
lo	18	F	evo	none	28	0.618
lo	18	F	evo	none	32	0.597
lo	18	F	evo	none	36	0.604
lo	18	F	evo	none	40	0.605
lo	18	F	evo	none	44	0.634
lo	18	F	evo	none	48	0.606
lo	18	F	evo	none	52	0.6
lo	18	F	evo	none	56	0.603
lo	18	F	evo	none	60	0.661
md	180	F	evo	none	4	0.495
md	180	F	evo	none	8	0.503
md	180	F	evo	none	12	0.529
md	180	F	evo	none	16	0.529
md	180	F	evo	none	20	0.527
md	180	F	evo	none	24	0.556
md	180	F	evo	none	28	0.559
md	180	F	evo	none	32	0.539
md	180	F	evo	none	36	0.554
md	180	F	evo	none	40	0.618
md	180	F	evo	none	44	0.608
md	180	F	evo	none	48	0.622
md	180	F	evo	none	52	0.613
md	180	F	evo	none	56	0.632
md	180	F	evo	none	60	0.642
hi	1800	F	evo	none	4	0.552
hi	1800	F	evo	none	8	0.48
hi	1800	F	evo	none	12	0.565
hi	1800	F	evo	none	16	0.52
hi	1800	F	evo	none	20	0.483
hi	1800	F	evo	none	24	0.439
hi	1800	F	evo	none	28	0.527
hi	1800	F	evo	none	32	0.517
hi	1800	F	evo	none	36	0.521
hi	1800	F	evo	none	40	0.544
hi	1800	F	evo	none	44	0.558
hi	1800	F	evo	none	48	0.488
hi	1800	F	evo	none	52	0.509
hi	1800	F	evo	none	56	0.552
hi	1800	F	evo	none	60	0.539
