"","cloneOD","clone_plus_ciliateOD","prey","predator","replicate","experiment_day","gPred_gAlone"
"460",0.444,0.086,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.64147726617872
"461",0.264,0.049,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.68412880503569
"462",0.527,0.056,"Ancestral Bacteria","Ancestral Ciliates",3,28,-2.24184885780621
"463",0.212,0.046,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.52794487818292
"464",0.2,0.047,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.44816976483798
"465",0.224,0.052,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.46040233327361
"466",0.228,0.047,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.57919802724438
"467",0.223,0.046,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.57853037497102
"468",0.258,0.053,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.5826676713695
"469",0.217,0.239,"Ancestral Bacteria","Ancestral Ciliates",3,28,0.0965661983910511
"470",0.265,0.131,"Ancestral Bacteria","Ancestral Ciliates",3,28,-0.704532502785071
"471",0.198,0.046,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.45962563420544
"472",0.463,0.042,"Ancestral Bacteria","Ancestral Ciliates",3,28,-2.40005743580287
"473",0.304,0.052,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.76578398282479
"474",0.206,0.049,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.43605587067895
"475",0.391,0.049,"Ancestral Bacteria","Ancestral Ciliates",3,28,-2.07688726187474
"476",0.249,0.048,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.64625188555682
"477",0.443,0.043,"Ancestral Bacteria","Ancestral Ciliates",3,28,-2.33236965435157
"478",0.356,0.044,"Ancestral Bacteria","Ancestral Ciliates",3,28,-2.09074109693377
"479",0.439,0.079,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.71505156060815
"480",0.203,0.045,"Ancestral Bacteria","Ancestral Ciliates",3,28,-1.50654348927147
"481",0.463,0.064,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.97884397072656
"482",0.314,0.048,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.87819197500036
"483",0.406,0.046,"Ancestral Bacteria","Ancestral Ciliates",5,28,-2.17771176311264
"484",0.4,0.048,"Ancestral Bacteria","Ancestral Ciliates",5,28,-2.12026353620009
"485",0.376,0.053,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.95929722983777
"486",0.373,0.06,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.82723385742171
"487",0.209,0.052,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.39109053338338
"488",0.44,0.049,"Ancestral Bacteria","Ancestral Ciliates",5,28,-2.19495442880168
"489",0.177,0.055,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.16881654734136
"490",0.174,0.046,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.33041390272543
"491",0.169,0.045,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.32323622515275
"492",0.187,0.045,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.42444612708427
"493",0.512,0.069,"Ancestral Bacteria","Ancestral Ciliates",5,28,-2.00421812044225
"494",0.22,0.048,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.52242653544447
"495",0.284,0.046,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.82033284167211
"496",0.225,0.047,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.56595280049436
"497",0.261,0.046,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.7358790108336
"498",0.354,0.05,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.95727390770563
"499",0.495,0.045,"Ancestral Bacteria","Ancestral Ciliates",5,28,-2.39789527279837
"500",0.384,0.071,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.68796267554641
"501",0.269,0.047,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.74456377789178
"502",0.367,0.052,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.95411812947314
"503",0.497,0.058,"Ancestral Bacteria","Ancestral Ciliates",5,28,-2.14814701555021
"504",0.411,0.064,"Ancestral Bacteria","Ancestral Ciliates",5,28,-1.85971013113656
"505",0.455,0.34,"Ancestral Bacteria","Evolved Ciliates",1,28,-0.291351801340743
"506",0.449,0.058,"Ancestral Bacteria","Evolved Ciliates",1,28,-2.04657987719584
"507",0.284,0.045,"Ancestral Bacteria","Evolved Ciliates",1,28,-1.84231174839089
"508",0.488,0.045,"Ancestral Bacteria","Evolved Ciliates",1,28,-2.38365291608283
"509",0.447,0.044,"Ancestral Bacteria","Evolved Ciliates",1,28,-2.31836896069531
"510",0.241,0.132,"Ancestral Bacteria","Evolved Ciliates",1,28,-0.601995010904284
"511",0.278,0.045,"Ancestral Bacteria","Evolved Ciliates",1,28,-1.82095862392032
"512",0.233,0.051,"Ancestral Bacteria","Evolved Ciliates",1,28,-1.51921282084137
"513",0.213,0.044,"Ancestral Bacteria","Evolved Ciliates",1,28,-1.57710253179116
"514",0.258,0.05,"Ancestral Bacteria","Evolved Ciliates",1,28,-1.64093657949347
"515",0.281,0.043,"Ancestral Bacteria","Evolved Ciliates",1,28,-1.87715455364018
"516",0.525,0.046,"Ancestral Bacteria","Evolved Ciliates",1,28,-2.43475686610253
"517",0.325,0.276,"Ancestral Bacteria","Evolved Ciliates",1,28,-0.163424316612587
"518",0.368,0.251,"Ancestral Bacteria","Evolved Ciliates",1,28,-0.382629999037147
"519",0.499,0.236,"Ancestral Bacteria","Evolved Ciliates",1,28,-0.748774290725909
"520",0.69,0.365,"Ancestral Bacteria","Evolved Ciliates",1,28,-0.636794244008814
"521",0.342,0.171,"Ancestral Bacteria","Evolved Ciliates",1,28,-0.693147180559945
"522",1.002,0.046,"Ancestral Bacteria","Evolved Ciliates",1,28,-3.08111188515572
"523",0.279,0.042,"Ancestral Bacteria","Evolved Ciliates",1,28,-1.893542163538
"524",0.312,0.193,"Ancestral Bacteria","Evolved Ciliates",1,28,-0.480312998904597
"525",0.282,0.043,"Ancestral Bacteria","Evolved Ciliates",1,28,-1.88070695524455
"526",0.342,0.18,"Ancestral Bacteria","Evolved Ciliates",1,28,-0.641853886172395
"527",0.763,0.044,"Ancestral Bacteria","Evolved Ciliates",1,28,-2.8530683973662
"528",0.338,0.266,"Ancestral Bacteria","Evolved Ciliates",1,28,-0.23954958670132
"529",0.536,0.045,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.47747167130048
"530",0.515,0.042,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.50649728238037
"531",0.416,0.043,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.2694851445677
"532",0.424,0.039,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.38617180910231
"533",0.42,0.043,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.27905459558385
"534",0.449,0.043,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.34582277204869
"535",0.513,0.046,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.41163444868167
"536",0.336,0.044,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.03292152604494
"537",0.355,0.09,"Ancestral Bacteria","Evolved Ciliates",3,28,-1.37230811914515
"538",0.543,0.047,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.44696171822388
"539",0.446,0.046,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.27167755553097
"540",0.585,0.148,"Ancestral Bacteria","Evolved Ciliates",3,28,-1.37439957346774
"541",0.495,0.044,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.42036812865043
"542",0.055,0.048,"Ancestral Bacteria","Evolved Ciliates",3,28,-0.13613217432458
"543",0.361,0.094,"Ancestral Bacteria","Evolved Ciliates",3,28,-1.34558317606288
"544",0.173,0.176,"Ancestral Bacteria","Evolved Ciliates",3,28,0.0171924005403728
"545",0.263,0.053,"Ancestral Bacteria","Evolved Ciliates",3,28,-1.60186211862564
"546",0.362,0.05,"Ancestral Bacteria","Evolved Ciliates",3,28,-1.97962120639762
"547",0.387,0.043,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.19722457733622
"548",0.428,0.047,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.20897559387174
"549",0.51,0.052,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.28316700713694
"550",0.398,0.047,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.13630440357438
"551",0.31,0.044,"Ancestral Bacteria","Evolved Ciliates",3,28,-1.95238266356093
"552",0.443,0.044,"Ancestral Bacteria","Evolved Ciliates",3,28,-2.30938013612687
"553",0.438,0.046,"Ancestral Bacteria","Evolved Ciliates",5,28,-2.25357751388735
"554",0.456,0.119,"Ancestral Bacteria","Evolved Ciliates",5,28,-1.34336931640286
"555",0.374,0.129,"Ancestral Bacteria","Evolved Ciliates",5,28,-1.06444339305286
"556",0.355,0.294,"Ancestral Bacteria","Evolved Ciliates",5,28,-0.188538022136734
"557",0.385,0.063,"Ancestral Bacteria","Evolved Ciliates",5,28,-1.81010860789625
"558",0.389,0.045,"Ancestral Bacteria","Evolved Ciliates",5,28,-2.15691685384813
"559",0.358,0.049,"Ancestral Bacteria","Evolved Ciliates",5,28,-1.98871268829007
"560",0.367,0.05,"Ancestral Bacteria","Evolved Ciliates",5,28,-1.99333884262642
"561",0.428,0.048,"Ancestral Bacteria","Evolved Ciliates",5,28,-2.18792218467391
"562",0.39,0.461,"Ancestral Bacteria","Evolved Ciliates",5,28,0.167251303872956
"563",0.299,0.042,"Ancestral Bacteria","Evolved Ciliates",5,28,-1.96277395510732
"564",0.483,0.075,"Ancestral Bacteria","Evolved Ciliates",5,28,-1.86252854011626
"565",0.192,0.041,"Ancestral Bacteria","Evolved Ciliates",5,28,-1.54392330532347
"566",0.157,0.184,"Ancestral Bacteria","Evolved Ciliates",5,28,0.158689952260678
"567",0.271,0.188,"Ancestral Bacteria","Evolved Ciliates",5,28,-0.365676858049752
"568",0.367,0.043,"Ancestral Bacteria","Evolved Ciliates",5,28,-2.14416173236101
"569",0.309,0.043,"Ancestral Bacteria","Evolved Ciliates",5,28,-1.97214116120418
"570",0.043,0.04,"Ancestral Bacteria","Evolved Ciliates",5,28,-0.072320661579626
"571",0.237,0.048,"Ancestral Bacteria","Evolved Ciliates",5,28,-1.59685913022724
"572",0.107,0.043,"Ancestral Bacteria","Evolved Ciliates",5,28,-0.911628718768344
"573",0.44,0.049,"Ancestral Bacteria","Evolved Ciliates",5,28,-2.19495442880168
"574",0.438,0.055,"Ancestral Bacteria","Evolved Ciliates",5,28,-2.07488572514398
"575",0.384,0.044,"Ancestral Bacteria","Evolved Ciliates",5,28,-2.16645291866947
"576",0.546,0.047,"Ancestral Bacteria","Evolved Ciliates",5,28,-2.45247137403485
"577",0.124,0.051,"Evolved Bacteria","Ancestral Ciliates",1,28,-0.888455932880711
"578",0.369,0.045,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.10413415427021
"579",0.333,0.044,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.02395285606218
"580",0.375,0.048,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.05572501506252
"581",0.751,0.052,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.67016193318271
"582",0.399,0.084,"Evolved Bacteria","Ancestral Ciliates",1,28,-1.55814461804655
"583",0.368,0.052,"Evolved Bacteria","Ancestral Ciliates",1,28,-1.9568392195875
"584",0.378,0.045,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.12823170584927
"585",0.371,0.045,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.10953957283712
"586",0.428,0.047,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.20897559387174
"587",0.369,0.05,"Evolved Bacteria","Ancestral Ciliates",1,28,-1.99877363861238
"588",0.203,0.226,"Evolved Bacteria","Ancestral Ciliates",1,28,0.107329020230499
"589",0.397,0.042,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.24626666240382
"590",0.468,0.053,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.17817638236553
"591",0.372,0.059,"Evolved Bacteria","Ancestral Ciliates",1,28,-1.84135641036743
"592",0.409,0.048,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.14251414513491
"593",0.398,0.042,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.24878238700107
"594",0.412,0.046,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.19238195286043
"595",0.432,0.055,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.06109240301164
"596",0.401,0.046,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.16532003081747
"597",0.481,0.059,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.09832982620004
"598",0.395,0.048,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.10768475399323
"599",0.346,0.045,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.0397762852874
"600",0.415,0.046,"Evolved Bacteria","Ancestral Ciliates",1,28,-2.1996371237416
"601",0.373,0.046,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.09293702315472
"602",0.427,0.048,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.18558300232073
"603",0.367,0.045,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.09869935828425
"604",0.386,0.046,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.12719597297574
"605",0.697,0.045,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.7401229209902
"606",0.435,0.041,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.36177396438438
"607",0.373,0.046,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.09293702315472
"608",0.368,0.04,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.21920348405499
"609",0.4,0.044,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.20727491318972
"610",0.402,0.188,"Evolved Bacteria","Ancestral Ciliates",3,28,-0.760010125789072
"611",0.33,0.043,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.03789253876696
"612",0.417,0.052,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.08184250321737
"613",0.504,0.053,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.25228435451925
"614",0.549,0.047,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.45795083979947
"615",0.539,0.06,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.1953710086869
"616",0.446,0.046,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.27167755553097
"617",0.57,0.05,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.43361335540045
"618",0.493,0.048,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.3293081631348
"619",0.452,0.053,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.14339026628011
"620",0.449,0.047,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.2568752860322
"621",0.553,0.047,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.46521039981228
"622",0.567,0.055,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.33302611849528
"623",0.483,0.045,"Evolved Bacteria","Ancestral Ciliates",3,28,-2.37335416388225
"624",0.267,0.047,"Evolved Bacteria","Ancestral Ciliates",3,28,-1.73710105669019
"625",0.518,0.481,"Evolved Bacteria","Ancestral Ciliates",5,28,-0.074107972153722
"626",0.433,0.435,"Evolved Bacteria","Ancestral Ciliates",5,28,0.00460830308619418
"627",0.41,0.415,"Evolved Bacteria","Ancestral Ciliates",5,28,0.0121213605323448
"628",0.505,0.106,"Evolved Bacteria","Ancestral Ciliates",5,28,-1.56111933516329
"629",0.459,0.41,"Evolved Bacteria","Ancestral Ciliates",5,28,-0.112893050362192
"630",0.369,0.049,"Evolved Bacteria","Ancestral Ciliates",5,28,-2.0189763459299
"631",0.532,0.047,"Evolved Bacteria","Ancestral Ciliates",5,28,-2.42649588763159
"632",0.36,0.047,"Evolved Bacteria","Ancestral Ciliates",5,28,-2.0359564297401
"633",0.434,0.06,"Evolved Bacteria","Ancestral Ciliates",5,28,-1.9786999718783
"634",0.441,0.06,"Evolved Bacteria","Ancestral Ciliates",5,28,-1.99470031322475
"635",0.339,0.051,"Evolved Bacteria","Ancestral Ciliates",5,28,-1.89417447465612
"636",0.193,0.056,"Evolved Bacteria","Ancestral Ciliates",5,28,-1.23733849816974
"637",0.429,0.083,"Evolved Bacteria","Ancestral Ciliates",5,28,-1.64261631113142
"638",0.445,0.053,"Evolved Bacteria","Ancestral Ciliates",5,28,-2.12778236861412
"639",0.354,0.045,"Evolved Bacteria","Ancestral Ciliates",5,28,-2.06263442336345
"640",0.374,0.047,"Evolved Bacteria","Ancestral Ciliates",5,28,-2.07410819570447
"641",0.381,0.052,"Evolved Bacteria","Ancestral Ciliates",5,28,-1.99155565654527
"642",0.432,0.225,"Evolved Bacteria","Ancestral Ciliates",5,28,-0.65232518603969
"643",0.36,0.047,"Evolved Bacteria","Ancestral Ciliates",5,28,-2.0359564297401
"644",0.329,0.046,"Evolved Bacteria","Ancestral Ciliates",5,28,-1.96741635427628
"645",0.452,0.054,"Evolved Bacteria","Ancestral Ciliates",5,28,-2.12469813326796
"646",0.389,0.051,"Evolved Bacteria","Ancestral Ciliates",5,28,-2.03175371089412
"647",0.254,0.042,"Evolved Bacteria","Ancestral Ciliates",5,28,-1.79966464873517
"648",0.475,0.048,"Evolved Bacteria","Ancestral Ciliates",5,28,-2.29211379312675
"649",0.478,0.459,"Evolved Bacteria","Evolved Ciliates",5,28,-0.0405605224309107
"650",0.419,0.15,"Evolved Bacteria","Evolved Ciliates",5,28,-1.02723562582588
"651",0.323,0.051,"Evolved Bacteria","Evolved Ciliates",5,28,-1.84582669049833
"652",0.332,0.439,"Evolved Bacteria","Evolved Ciliates",5,28,0.279364444158683
"653",0.4,0.049,"Evolved Bacteria","Evolved Ciliates",5,28,-2.09964424899736
"654",0.422,0.051,"Evolved Bacteria","Evolved Ciliates",5,28,-2.11317968131169
"655",0.396,0.052,"Evolved Bacteria","Evolved Ciliates",5,28,-2.03017049267305
"656",0.125,0.112,"Evolved Bacteria","Evolved Ciliates",5,28,-0.109814866007207
"657",0.468,0.056,"Evolved Bacteria","Evolved Ciliates",5,28,-2.1231166051825
"658",0.452,0.066,"Evolved Bacteria","Evolved Ciliates",5,28,-1.92402743780581
"659",0.396,0.045,"Evolved Bacteria","Evolved Ciliates",5,28,-2.17475172148416
"660",0.504,0.05,"Evolved Bacteria","Evolved Ciliates",5,28,-2.31055326264322
"661",0.517,0.516,"Evolved Bacteria","Evolved Ciliates",5,28,-0.00193610902686644
"662",0.629,0.608,"Evolved Bacteria","Evolved Ciliates",5,28,-0.0339563747342736
"663",0.426,0.15,"Evolved Bacteria","Evolved Ciliates",5,28,-1.04380405217311
"664",0.48,0.323,"Evolved Bacteria","Evolved Ciliates",5,28,-0.39613378067928
"665",0.403,0.139,"Evolved Bacteria","Evolved Ciliates",5,28,-1.06446262881599
"666",0.464,0.06,"Evolved Bacteria","Evolved Ciliates",5,28,-2.04553999000415
"667",0.444,0.059,"Evolved Bacteria","Evolved Ciliates",5,28,-2.01828711852651
"668",0.246,0.273,"Evolved Bacteria","Evolved Ciliates",5,28,0.104140259252597
"669",0.429,0.054,"Evolved Bacteria","Evolved Ciliates",5,28,-2.07247287236374
"670",0.139,0.045,"Evolved Bacteria","Evolved Ciliates",5,28,-1.12781144336037
"671",0.283,0.042,"Evolved Bacteria","Evolved Ciliates",5,28,-1.90777727935987
"672",0.309,0.199,"Evolved Bacteria","Evolved Ciliates",5,28,-0.440036452173253
"673",0.399,0.066,"Ancestral Bacteria","Ancestral Ciliates",1,60,-1.79930667486344
"674",0.069,0.165,"Ancestral Bacteria","Ancestral Ciliates",1,60,0.871838969303321
"675",0.434,0.052,"Ancestral Bacteria","Ancestral Ciliates",1,60,-2.12180081551898
"676",0.517,0.068,"Ancestral Bacteria","Ancestral Ciliates",1,60,-2.02853516933232
"677",0.528,0.062,"Ancestral Bacteria","Ancestral Ciliates",1,60,-2.14196189866117
"678",0.558,0.115,"Ancestral Bacteria","Ancestral Ciliates",1,60,-1.57942683401806
"679",0.654,0.052,"Ancestral Bacteria","Ancestral Ciliates",1,60,-2.53186363287577
"680",0.294,0.053,"Ancestral Bacteria","Ancestral Ciliates",1,60,-1.71328785378656
"681",0.526,0.053,"Ancestral Bacteria","Ancestral Ciliates",1,60,-2.29500929918559
