transfer_category transfer_volume_ul replicate prey_history predator_history time_days bacteria_od
hi 1800 C evo evo 28 0.311
hi 1800 C evo evo 32 0.294
hi 1800 C evo evo 36 0.277
hi 1800 C evo evo 40 0.313
hi 1800 C evo evo 44 0.316
hi 1800 C evo evo 48 0.278
hi 1800 C evo evo 52 0.331
hi 1800 C evo evo 56 0.322
hi 1800 C evo evo 60 0.305
hi 1800 C evo none 4 0.534
hi 1800 C evo none 8 0.525
hi 1800 C evo none 12 0.518
hi 1800 C evo none 16 0.524
hi 1800 C evo none 20 0.549
hi 1800 C evo none 24 0.579
hi 1800 C evo none 28 0.588
hi 1800 C evo none 32 0.57
hi 1800 C evo none 36 0.579
hi 1800 C evo none 40 0.578
hi 1800 C evo none 44 0.576
hi 1800 C evo none 48 0.58
hi 1800 C evo none 52 0.556
hi 1800 C evo none 56 0.554
hi 1800 C evo none 60 0.571
hi 1800 E anc anc 4 0.229
hi 1800 E anc anc 8 0.192
hi 1800 E anc anc 12 0.226
hi 1800 E anc anc 16 0.281
hi 1800 E anc anc 20 0.268
hi 1800 E anc anc 24 0.226
hi 1800 E anc anc 28 0.216
hi 1800 E anc anc 32 0.17
hi 1800 E anc anc 36 0.191
hi 1800 E anc anc 40 0.193
hi 1800 E anc anc 44 0.223
hi 1800 E anc anc 48 0.252
hi 1800 E anc anc 52 0.249
hi 1800 E anc anc 56 0.299
hi 1800 E anc anc 60 0.245
hi 1800 E anc evo 4 0.205
hi 1800 E anc evo 8 0.182
hi 1800 E anc evo 12 0.227
hi 1800 E anc evo 16 0.244
hi 1800 E anc evo 20 0.239
hi 1800 E anc evo 24 0.247
hi 1800 E anc evo 28 0.256
hi 1800 E anc evo 32 0.258
hi 1800 E anc evo 36 0.246
hi 1800 E anc evo 40 0.26
hi 1800 E anc evo 44 0.272
hi 1800 E anc evo 48 0.241
hi 1800 E anc evo 52 0.232
hi 1800 E anc evo 56 0.18
hi 1800 E anc evo 60 0.311
hi 1800 E anc none 4 0.591
hi 1800 E anc none 8 0.557
hi 1800 E anc none 12 0.55
hi 1800 E anc none 16 0.562
hi 1800 E anc none 20 0.585
hi 1800 E anc none 24 0.579
hi 1800 E anc none 28 0.575
hi 1800 E anc none 32 0.491
hi 1800 E anc none 36 0.56
hi 1800 E anc none 40 0.554
hi 1800 E anc none 44 0.54
hi 1800 E anc none 48 0.523
hi 1800 E anc none 52 0.559
hi 1800 E anc none 56 0.534
hi 1800 E anc none 60 0.568
hi 1800 E evo anc 4 0.283
hi 1800 E evo anc 8 0.243
hi 1800 E evo anc 12 0.273
hi 1800 E evo anc 16 0.308
hi 1800 E evo anc 20 0.25
hi 1800 E evo anc 24 0.287
hi 1800 E evo anc 28 0.269
hi 1800 E evo anc 32 0.219
hi 1800 E evo anc 36 0.269
hi 1800 E evo anc 40 0.264
hi 1800 E evo anc 44 0.24
hi 1800 E evo anc 48 0.283
hi 1800 E evo anc 52 0.228
hi 1800 E evo anc 56 0.245
hi 1800 E evo anc 60 0.301
hi 1800 E evo evo 4 0.24
hi 1800 E evo evo 8 0.221
hi 1800 E evo evo 12 0.22
